order_id,order_purchase_timestamp,customer_state,product_category_name_english,seller_id,seller_state,total_payment,payment_type,review_score,delivery_days,is_late
3b697a20d9e427646d92567910af6d57,2016-10-03 09:44:50,SP,watches_gifts,522620dcb18a6b31cd7bdf73665113a9,PR,45.46,boleto,4.0,23.0,0
c3d9e402b6a0fbe2a5f7fc5b41117c38,2016-10-04 10:16:04,PA,furniture_decor,624f4ece8da4aafb77699233d480f8ef,SP,237.45,credit_card,5.0,35.0,0
3f72d2b757e725cd48a4726f831c7789,2016-10-04 13:15:46,MG,perfumery,620c87c171fb2a6dd6e8bb4dec959fc6,RJ,267.49,credit_card,3.0,12.0,0
f3f12fc90564a9b036680a887cd64668,2016-10-04 13:15:52,SP,toys,817f85dbb65aa3e70831d90fe75cdf89,SP,144.94,credit_card,3.0,28.0,0
51725d3e4bdfc97e28b40543310da8a3,2016-10-04 15:02:53,SC,health_beauty,ecccfa2bb93b34a3bf033cc5d1dcdc69,PR,149.54,credit_card,1.0,21.0,0
98974b076b01553d49ee6467905675a7,2016-10-04 15:44:44,SP,housewares,5b179e9e8cc7ab6fd113a46ca584da81,SP,121.13,credit_card,1.0,43.0,0
cb29497c3782a76b57327c055d58b0e0,2016-10-04 16:41:59,RJ,toys,b2ba3715d723d245138f291a6fe42594,SP,163.2,credit_card,1.0,24.0,0
5cc475c7c03290048eb2e742cd64cb5e,2016-10-04 21:54:52,SP,computers_accessories,897060da8b9a21f655304d50fd935913,SP,82.69,boleto,1.0,68.0,1
cfdc6f2061897ed3b3f1a9ac3437c6f9,2016-10-04 22:03:46,RJ,furniture_decor,5a8e7d5003a1f221f9e1d6e411de7c23,SP,149.46,credit_card,3.0,12.0,0
dd11631d8b02780b78bd97ec44a1ca8c,2016-10-04 23:08:08,SP,air_conditioning,ed859002ad59dbf8cf3602696a6c3000,PR,338.46,credit_card,5.0,30.0,0
bcbc0973414b1dd97555e6f8e9713cfa,2016-10-04 23:59:01,PR,bed_bath_table,cca3071e3e9bb7d12640c9fbe2301306,SP,383.24,credit_card,5.0,11.0,0
98750f114ae6088d04ea0d3cfe3f137f,2016-10-05 11:44:41,RJ,auto,63b9ae557efed31d1f7687917d248a8d,SP,24.52,boleto,5.0,23.0,0
ad1aeeb1a99c9f021e38a49865bb812c,2016-10-05 12:41:38,MA,market_place,024b564ae893ce8e9bfa02c10a401ece,SP,625.2,boleto,5.0,21.0,0
